,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
865,1/9/12 19:00,Hagerman,ID,USA,Light,15 minutes,Yellowish white lights brighter than the north star about 10 miles over the hills in Hagerman Idaho.,1/12/12,
866,12/26/11 19:45,Emmett,ID,USA,Light,3 minutes,4 red/orange lights moving towards the next in line upwards untill all disappearing one at a time,1/12/12,
867,12/24/11 22:00,Boise,ID,USA,Circle,30 minutes,Bright red star at about 30 degrees above eastern horizon. ((NUFORC Note: Possibly Sirius? PD)),1/12/12,
868,12/24/11 21:30,Boise,ID,USA,Light,25 minutes,Red Pulsating Light Seen in Boise on Christmas Eve,1/12/12,
869,12/22/11 20:00,Boise,ID,USA,Orb,15-20 Min.,Five orangish orbs flying up into sky in between Boise and Arrowrock Reservoir dissapear into sky,1/12/12,
870,12/22/11 08:37,Boise (downtown area),ID,USA,Light,less than 2 min,Red Light SO FAST N SILENT! Now there are Helicopters flying all over the place?,1/12/12,
871,10/5/11 06:45,Boise,ID,USA,Unknown,one min,Bright Flashes,10/10/11,
872,10/5/11 04:00,Idaho Falls,ID,USA,Disk,5-10 minutes,"Bright neon flashes seen across city along with power outages, and a molten-gold colored disk with smaller disks coming off of it.",11/11/13,
873,10/1/11 15:00,Boise,ID,USA,Unknown,,UFO Gowen Field october 1st 2011,10/10/11,
874,9/29/11 01:26,Idaho Falls,ID,USA,Triangle,3 min,triangel shape 3 light one one each coner greenish yellow made no noise at all moving very fast,10/10/11,
875,9/26/11 21:30,Boise,ID,USA,Oval,hour,multi-color flashing lights with bright white in the middle. Hovering with no noise every night. ((NUFORC Note: Sirius? PD)),10/10/11,
876,9/16/11 22:30,Boise,ID,USA,Light,5 Minutes,Two seperate lights that flashed and then started moving towards one another.,10/10/11,
877,9/10/11 23:30,Twin Falls,ID,USA,Fireball,1 min,Orange fiery-looking orb appeared to be floating at the treeline.,10/10/11,
878,9/10/11 05:20,Ammon,ID,USA,Light,21 min,"i saw this object in the east southeast sky, it had many colors and moved at great speed in all directions but seemed to stay close to",10/10/11,
879,9/5/11 00:30,Pocatello,ID,USA,Light,15 minutes,Not quite a satellite.,10/10/11,
880,8/30/11 22:30,Boise,ID,USA,Orb,5 Minutes,Reported light may not have been the ISS.,10/10/11,
881,8/30/11,Felt,ID,USA,Triangle,5 minutes,"A near duplicate sighting, eleven yr.s apart. same general location",10/10/11,
882,8/25/11 21:30,Nampa,ID,USA,Cross,2 minutes,2 witness what appeared to be a low flying small aricraft completely on fire streak across the night sky.,10/10/11,
883,8/25/11 21:30,Mountain Home,ID,USA,Orb,30 sec,5 bright orange lights seen by 3+ Air Force personnel in Idaho,10/10/11,
884,8/16/11 22:22,Boise,ID,USA,Light,10 minutes,Bright Red UFO Seen Over Boise at End of Hyde Street Fair,10/10/11,
885,8/15/11 22:00,Boise,ID,USA,Orb,5 minutes,high flying thing. ((NUFORC Note: ISS over-flight at 21:57 hrs.; SW to NE. PD)),8/21/11,
886,8/12/11 15:00,Emmett,ID,USA,Disk,6 mins,the craft was very shiny,8/21/11,
887,8/5/11 23:45,Cambridge,ID,USA,Triangle,2 minutes,Triangle shaped figure flying low making no noise and flashing red and blue lights very fast,8/21/11,
888,8/4/11 22:00,Post Falls,ID,USA,Light,25 seconds,Bright light on mountain top by cell tower- receded behind mountain after 25 sec,8/7/11,
889,8/3/11 22:49,Nampa,ID,USA,Triangle,10 minutes,Two large amber glowing objects over Nampa/ Caldwell Idaho,8/7/11,
890,7/23/11 23:00,Lewiston,ID,USA,Light,less than 30 seconds,Fast traveling bright light that appeared and disappeared in less than 30 seconds.,8/7/11,
891,7/17/11 13:00,Lewiston,ID,USA,Triangle,20 minutes,"Three delta, possibly ""bat-shaped"" objects observed flying due west between 10,000 and 25,000 feet at very high rate of speed.",8/7/11,
892,7/4/11 22:45,Star,ID,USA,Fireball,2 mins,"REDDISH-ORANGE anomoly appears in the sky about 25 degrees above horizon, moves, changes course, drifts overhead as if observing .",7/6/11,
893,7/3/11 22:50,Nampa,ID,USA,Fireball,2 minutes X2,Two very bright red objects travelling with missile-like speed across the entire night sky NNW to SSE,7/4/11,
894,7/1/11 23:30,Meridian,ID,USA,Unknown,30 seconds,"Very slow bright light moving through the sky, almost still, then there was a big flash and it off at lightning speed and disappeared.",8/20/20,
895,6/25/11 16:40,Carey (15 miles east of; on Hwy 20),ID,USA,Rectangle,3 minutes,"Rectangular object observed for three minutes, then it instantly vanished.",7/4/11,
896,6/25/11 01:00,Stanley,ID,USA,Light,20 minutes,"3 alternating color, fast moving lights over Stanley Lake in Stanley, Idaho.",7/4/11,
897,6/21/11 13:00,St. Maries,ID,USA,Sphere,1 minute,Silver Shere hovering over mountain about 5 miles away from us was about as big as a dime if you held it out at arms length.,10/30/12,
898,5/10/11 00:07,Boise,ID,USA,Unknown,2 minutes,"Stationary flashing lights in SE sky from Boise, Idaho",5/12/11,
899,5/5/11 22:00,Nampa,ID,USA,Triangle,5 min+or-,I was taking my evening walk in a westernly direction when I noticed a very bright light in the northwest. The light was many times bri,5/29/11,
900,5/5/11 09:15,Lewiston,ID,USA,Fireball,4 minutes,3 fireballs around lewiston idaho,5/12/11,
901,5/1/11 00:55,Pocatello,ID,USA,Light,three minutes,I saw several bright red lights in the WNW sky that didn't blink and faded in less than three minutes from the time I first spotted the,5/2/11,
902,4/30/11 22:30,Nampa,ID,USA,Chevron,+/- 5 min.,Lights many times brighter than the backgroung of stars!,5/2/11,
903,4/22/11 23:00,Burley,ID,USA,Light,3 minutes,Mystery disc seen from 50 or less feet away zooms off!!,5/29/11,
904,4/9/11 05:00,Coeur d'Alene,ID,USA,Other,30 sec,object stood stationary but moved great distances in seconds and stood stationary again,5/2/11,
905,3/19/11 22:30,Boise,ID,USA,Oval,3-4 minutes,Amber light hoovering in the west sky,4/3/11,
906,3/1/11 05:15,Burley,ID,USA,Fireball,30 minutes,Bright fireball in sky 15 miles away hovering in sky for 30 minutes until sun rises.,5/29/11,
907,1/17/11 18:32,Coeur d'Alene,ID,USA,Circle,5-25 seconds,Circle moving fast left trail of light about twice the size of the full moon.,1/31/11,
908,1/15/11 01:30,Shoshone,ID,USA,Light,20 minutes,"Saw strange light going in circles, then it shot up to space.",3/10/11,
909,1/8/11 03:00,Glenns Ferry,ID,USA,Light,every morning,Is this a enormous star or a planet?,1/31/11,
910,11/14/10 23:00,Rathdrum Prairie,ID,USA,Triangle,45 sec - 1 min,triangle shaped object with 3 bright lights and 1 dull pulsating light underneath the craft it moved silently,11/21/10,
911,10/20/10 19:00,Boise,ID,USA,Fireball,5 minutes,Fireball changes directions a stops in the sky.,11/21/10,
912,10/2/10 00:00,Boise,ID,USA,Light,1 hr,"Im sitting here looking south west at a bright light that is the only thing in the sky, not a single star can be seen from the lights o",11/21/10,
913,9/3/10 10:45,Hayden,ID,USA,Triangle,10 sec,three dim lights in the sky.,11/21/10,
914,9/3/10 10:20,Hayden Lake,ID,USA,Triangle,about 30seconds,Boomerand shaped lights in the sky and where moving fast in circles.,11/21/10,
915,8/25/10 22:39,Caldwell,ID,USA,Light,5 min.,bright blue light,8/30/10,
916,8/24/10 16:05,Garden City,ID,USA,Flash,4 minutes,Quick Flashing Object Ascends Over Fair Grounds And Pulses Motionless In Sky,8/24/10,
917,8/24/10 08:00,Boise,ID,USA,Disk,2 minutes,"Multiple sightings of very fast, bright, disk shaped flying things.",8/30/10,
918,8/20/10 13:00,Nampa,ID,USA,Cigar,5 minutes,cigar shaped UFO. Mediam grey. no noise. large. elevation about the hight of normal helicopter flying overhead.,11/21/10,
919,8/15/10 22:00,Caldwell,ID,USA,Cylinder,3 seconds,UFO Rods have been filmed in daylight--Now read about how to see them at night.,11/21/10,
920,8/15/10 02:00,Caldwell,ID,USA,Light,30 seconds,"Large very bright light seen flying west to east over Caldwell, Idaho.",2/7/14,
921,8/12/10 12:30,Boise,ID,USA,Triangle,40 minutes and counting,There are recurring crafts hovering and flying over boise that are not of this world.,8/24/10,
922,7/20/10 21:15,Burley,ID,USA,Disk,5 seconds,Disc shaped UFO sighted over Idaho,8/24/10,
923,7/17/10 23:00,Bruneau/Mountain Home (between),ID,USA,Triangle,1-2 Minutes on and off,"3 Lights, 25 Ft. Off The Ground Forming A Triangle Flash In And Out Twice & Then From Afar Coyotes Howl At It For 4-5 Minutes",7/28/10,
924,7/17/10 21:00,Mountain Home (observatory),ID,USA,,5-10 seconds,Telephoned Report: Three witnesses observe three distinctly yellow lights maneuvering around astronomical observatory.,7/19/10,
925,7/13/10 10:30,Victor,ID,USA,Changing,5-10 minutes,Rod shaped appearance that in photos look more like double lights during daytime.,8/30/10,
926,7/12/10 22:00,Cambridge,ID,USA,Sphere,2+ hours,A second sighting in a small rural Idaho town.,7/19/10,
927,7/11/10 22:45,Boise,ID,USA,Other,20 seconds,Large translucent orange/gold v-shaped object flying from wast to west in straight line,7/19/10,
928,7/10/10 22:00,Moore,ID,USA,Light,1 hr.,ALIEN LANDING OF UNKNOW ORIGIN TO GO ALONG WITH STRANGE BEHAVIOR OF WILD ANIMALS AND PEOPLE IN THE AREA 500 Lights On Object0: Yes,11/21/10,
929,7/8/10 23:00,Cambridge,ID,USA,Circle,15-20 min,A bright light spinning and weaving over a small town in Idaho.,7/10/10,
930,7/3/10 22:00,Nordman,ID,USA,Light,1 hour,Strange slow moving orange light traveling from west to east then turned abruptly and disappeared.,7/6/10,
931,6/27/10 02:55,Pocatello,ID,USA,Light,,a light moving fairly fast.,7/6/10,
932,5/20/10 21:30,Ashton,ID,USA,Other,1 second,Bright flash lit up entire horizon to the northward,7/3/13,
933,5/11/10 22:37,Boise,ID,USA,Light,minute,sporadically fast moving bright light too low to be a satellite and to high to be a plane fades into the stars after a minute,5/12/10,
934,5/8/10 12:45,Fort Hall,ID,USA,Disk,1to 2 minutes,silver disk hovering above house,6/3/10,
935,5/1/10 06:00,Fruitland,ID,USA,Triangle,5 minutes,Triangular shaped something hovering over a dairy farm.,2/18/11,
